method,attribute,stat,value
mst.positionMag,velocityMag,p75Bits,17.75049219194826122248
mst.positionMag,velocityMag,p95Bits,18.19368001099685017152
mst.positionMag,velocityMag,maxBits,19.11559359282818704173
mst.positionMag,velocityMag,meanBits,17.21732605754120015717
mst.positionMag,velocityMag,meanDeviationBits,15.30525782959313474407
mst.positionMag,velocityMag,columnBits,20.00000000000000000000
mst.positionMag,velocityMag,varwidthBits,18.25025025025055569472
mst.positionMag,velocityMag,lzmaBits,8.34434434434434457728
mst.positionMag,velocityTheta,min,0.00014336473563501429
mst.positionMag,velocityTheta,p5,0.00559734063254681453
mst.positionMag,velocityTheta,p25,0.02679656540810064491
mst.positionMag,velocityTheta,p50,0.05343015519938035945
mst.positionMag,velocityTheta,p75,0.08240184281442912428
mst.positionMag,velocityTheta,p95,0.12577847101540526320
mst.positionMag,velocityTheta,max,0.24269146349490458570
mst.positionMag,velocityTheta,mean,0.05789189868262542560
mst.positionMag,velocityTheta,trueMean,0.05789189868262542560
mst.positionMag,velocityTheta,meanDeviation,0.03142782252270691357
mst.positionMag,velocityTheta,minBits,17.23199656284018743690
mst.positionMag,velocityTheta,p5Bits,22.51895774268510308502
mst.positionMag,velocityTheta,p25Bits,24.77819200871927662888
mst.positionMag,velocityTheta,p50Bits,25.77379806830440500676
mst.positionMag,velocityTheta,p75Bits,26.39882044468083677202
mst.positionMag,velocityTheta,p95Bits,27.00895692963782579454
mst.positionMag,velocityTheta,maxBits,27.95719527976222096299
mst.positionMag,velocityTheta,meanBits,25.39883144149694160774
mst.positionMag,velocityTheta,meanDeviationBits,24.48862310648351936493
mst.positionMag,velocityTheta,columnBits,28.00000000000000000000
mst.positionMag,velocityTheta,varwidthBits,26.62462462462496759485
mst.positionMag,velocityTheta,lzmaBits,8.33633633633633586157
mst.positionMag,radius,min,0.00000320294481827299
mst.positionMag,radius,p5,0.00006330996154650659
mst.positionMag,radius,p25,0.00046701490901593368
mst.positionMag,radius,p50,0.00097183526526402331
mst.positionMag,radius,p75,0.00159267272270312635
mst.positionMag,radius,p95,0.00253448340671620295
mst.positionMag,radius,max,0.00322457092359233755
